TAVERN / LIQUOR STORE,159
COLLEGE / UNIVERSITY - GROUNDS,49
POLICE FACILITY / VEHICLE PARKING LOT,126
CTA SUBWAY STATION,64
SCHOOL - PRIVATE BUILDING,144
CHA PARKING LOT / GROUNDS,39
LAKEFRONT / WATERFRONT / RIVERBANK,103
BOAT / WATERCRAFT,28
TRAILER,162
OTHER RAILROAD PROPERTY / TRAIN DEPOT,120
CHA PLAY LOT,41
SCHOOL - PRIVATE GROUNDS,145
